sensor,n,n_missing,missing_rate,n_zero,zero_rate,n_unique,mean,median,std,min,p01,p05,p95,p99,max,longest_nan_run,longest_zero_run,n_nan_runs,n_zero_runs,n_zero_runs_ge_1h,n_zero_runs_ge_6h,n_zero_runs_ge_1day,status
A019,13248,0,0.0,707,0.05336654589371981,122,31.55804649758454,29.0,25.507085506871064,0.0,0.0,0.0,75.0,91.0,134.0,0,272,0,336,2,1,1,long_zero_run_ge_1day
A110,13248,0,0.0,634,0.04785628019323671,97,30.208861714975846,25.0,23.445712781816034,0.0,0.0,1.0,70.0,80.0,98.0,0,349,0,141,2,2,1,long_zero_run_ge_1day
A111,13248,0,0.0,631,0.0476298309178744,212,80.71625905797102,78.0,57.83495650156641,0.0,0.0,2.0,170.64999999999964,187.0,217.0,0,578,0,14,4,1,1,long_zero_run_ge_1day
A165,13248,0,0.0,605,0.04566727053140097,451,165.9512379227053,167.0,111.59627561442474,0.0,0.0,9.0,335.0,374.0,1652.0,0,604,0,2,1,1,1,long_zero_run_ge_1day
A009,13248,0,0.0,489,0.03691123188405797,143,46.794384057971016,43.0,34.48073748931925,0.0,0.0,2.0,103.0,118.0,146.0,0,415,0,68,1,1,1,long_zero_run_ge_1day
A159,13248,0,0.0,466,0.035175120772946857,329,83.70546497584542,60.0,73.65469346299517,0.0,0.0,2.0,215.0,265.0,350.0,0,266,0,156,3,1,1,long_zero_run_ge_1day
A043,13248,0,0.0,283,0.021361714975845412,466,177.2957427536232,172.0,124.00569357470653,0.0,0.0,10.0,375.0,418.0,494.0,0,276,0,8,1,1,1,long_zero_run_ge_1day
A182,13248,0,0.0,282,0.021286231884057972,394,135.22305253623188,136.0,92.48684774656411,0.0,0.0,7.0,275.0,339.0,457.0,0,266,0,9,2,1,1,long_zero_run_ge_1day
A001,13248,0,0.0,277,0.020908816425120772,695,288.45629528985506,294.0,189.11033873249352,0.0,0.0,24.0,583.0,654.0,738.0,0,266,0,4,2,1,1,long_zero_run_ge_1day
A003,13248,0,0.0,277,0.020908816425120772,827,344.75188707729467,339.0,236.0072009853703,0.0,0.0,22.0,701.0,768.0,899.0,0,266,0,4,2,1,1,long_zero_run_ge_1day
A117,13248,0,0.0,276,0.020833333333333332,364,128.8786231884058,125.0,91.98207000411021,0.0,0.0,11.0,289.0,328.0,371.0,0,266,0,3,2,1,1,long_zero_run_ge_1day
A181,13248,0,0.0,276,0.020833333333333332,436,177.33099335748793,182.0,119.09831258989125,0.0,0.0,10.0,358.64999999999964,392.0,1373.0,0,266,0,5,1,1,1,long_zero_run_ge_1day
A118,13248,0,0.0,275,0.020757850241545892,357,123.284797705314,122.0,89.01442289779291,0.0,0.0,9.0,276.0,313.53000000000065,423.0,0,266,0,4,1,1,1,long_zero_run_ge_1day
A161,13248,0,0.0,270,0.020380434782608696,593,215.9830917874396,225.5,132.27535046617598,0.0,0.0,21.0,412.0,500.0,891.0,0,149,0,5,3,2,1,long_zero_run_ge_1day
A160,13248,0,0.0,246,0.018568840579710144,254,82.15315519323671,77.0,60.08287239244324,0.0,0.0,4.0,186.0,215.0,273.0,0,149,0,57,4,1,1,long_zero_run_ge_1day
A163,13248,0,0.0,167,0.012605676328502416,380,147.74116847826087,149.0,99.48597240374666,0.0,0.0,11.0,305.0,339.0,397.0,0,149,0,10,2,1,1,long_zero_run_ge_1day
A171,13248,0,0.0,11443,0.8637530193236715,13,0.2959692028985507,0.0,0.9625157314091777,0.0,0.0,0.0,2.0,5.0,14.0,0,112,0,1243,338,92,0,mostly_zero_80
A166,13248,0,0.0,11203,0.845637077294686,27,0.4239885265700483,0.0,1.5406094574172713,0.0,0.0,0.0,2.0,7.0,41.0,0,117,0,1176,308,95,0,mostly_zero_80
A156,13248,0,0.0,13026,0.9832427536231884,7,0.02709842995169082,0.0,0.24003844330630889,0.0,0.0,0.0,0.0,1.0,6.0,0,10459,0,178,86,24,1,mostly_zero_90
A154,13248,0,0.0,12717,0.9599184782608695,8,0.05329106280193237,0.0,0.3005212388446806,0.0,0.0,0.0,0.0,1.0,7.0,0,258,0,454,309,104,8,mostly_zero_90
A157,13248,0,0.0,10513,0.7935537439613527,27,0.5628019323671497,0.0,1.7311952442823462,0.0,0.0,0.0,3.0,9.0,27.0,0,109,0,1407,257,92,0,usable
