sensor,n,n_missing,missing_rate,n_zero,zero_rate,n_unique,mean,median,std,min,p01,p05,p95,p99,max,longest_nan_run,longest_zero_run,n_nan_runs,n_zero_runs,n_zero_runs_ge_1h,n_zero_runs_ge_6h,n_zero_runs_ge_1day,status
A051,13248,0,0.0,4,0.00030193236714975844,1353,270.6667421497585,198.0,367.5809481303996,0.0,5.0,12.0,1089.6499999999996,2073.5300000000007,2565.0,0,1,0,4,0,0,0,usable
A046,13248,0,0.0,3,0.00022644927536231884,638,258.04778079710144,265.0,166.48611243157072,0.0,12.0,22.0,500.0,561.5300000000007,2094.0,0,3,0,1,0,0,0,usable
A142,13248,0,0.0,3,0.00022644927536231884,538,241.75211352657004,277.0,120.94725395044584,0.0,23.0,37.0,399.0,461.0,1601.0,0,3,0,1,0,0,0,usable
A027,13248,0,0.0,3,0.00022644927536231884,616,261.7994414251208,296.0,159.15832066263158,0.0,9.0,21.0,475.0,533.5300000000007,837.0,0,1,0,3,0,0,0,usable
A062,13248,0,0.0,3,0.00022644927536231884,221,88.89009661835749,91.0,54.00587660881806,0.0,4.0,8.0,172.0,192.0,225.0,0,1,0,3,0,0,0,usable
A126,13248,0,0.0,3,0.00022644927536231884,430,165.8857940821256,155.0,111.17304768592396,0.0,8.0,16.0,343.0,380.53000000000065,794.0,0,1,0,3,0,0,0,usable
A013,13248,0,0.0,2,0.00015096618357487922,498,204.1628925120773,202.0,143.96368963322618,0.0,6.0,12.0,412.0,444.0,1206.0,0,2,0,1,0,0,0,usable
A010,13248,0,0.0,2,0.00015096618357487922,498,206.63194444444446,200.0,139.36891520036687,0.0,9.469999999999999,16.0,419.0,457.0,568.0,0,1,0,2,0,0,0,usable
A081,13248,0,0.0,2,0.00015096618357487922,1498,467.9916213768116,439.0,369.7139405421508,0.0,16.47,33.0,1036.0,1726.770000000006,4411.0,0,1,0,2,0,0,0,usable
A002,13248,0,0.0,1,7.548309178743961e-05,670,299.481884057971,310.0,190.88782879090752,0.0,16.47,27.0,582.6499999999996,628.5300000000007,723.0,0,1,0,1,0,0,0,usable
A006,13248,0,0.0,1,7.548309178743961e-05,2082,1143.245697463768,1122.0,446.15588446568466,0.0,62.47,304.35,1888.0,2107.0,2393.0,0,1,0,1,0,0,0,usable
A008,13248,0,0.0,1,7.548309178743961e-05,1196,494.88066123188406,526.0,310.0592511291922,0.0,33.0,54.0,876.0,1460.770000000006,2617.0,0,1,0,1,0,0,0,usable
A041,13248,0,0.0,1,7.548309178743961e-05,499,206.20206823671498,209.0,136.1928880673347,0.0,8.0,16.0,409.64999999999964,446.0,585.0,0,1,0,1,0,0,0,usable
A049,13248,0,0.0,1,7.548309178743961e-05,1799,661.0473278985507,612.0,436.5367658655996,0.0,17.0,41.0,1434.6499999999996,1795.5300000000007,2715.0,0,1,0,1,0,0,0,usable
A075,13248,0,0.0,1,7.548309178743961e-05,869,310.6403985507246,319.0,188.72173356495705,0.0,22.0,39.35000000000002,581.0,795.590000000002,2252.0,0,1,0,1,0,0,0,usable
A146,13248,0,0.0,1,7.548309178743961e-05,878,318.9221014492754,290.0,229.49391145372564,0.0,17.0,32.0,749.0,819.0,1085.0,0,1,0,1,0,0,0,usable
A168,13248,0,0.0,1,7.548309178743961e-05,844,293.72863828502415,275.0,213.75089182837797,0.0,9.0,21.0,661.0,760.0,2732.0,0,1,0,1,0,0,0,usable
A004,13248,0,0.0,0,0.0,1398,564.3506944444445,624.0,332.45802091995023,7.0,37.0,63.0,1057.0,1370.0600000000013,3070.0,0,0,0,0,0,0,0,usable
A015,13248,0,0.0,0,0.0,1411,508.5336654589372,554.0,333.84373747261924,7.0,22.0,41.0,1057.6499999999996,1418.0600000000013,2395.0,0,0,0,0,0,0,0,usable
A018,13248,0,0.0,0,0.0,694,285.73769625603865,292.0,178.48253517236017,7.0,20.0,33.0,573.0,641.0,841.0,0,0,0,0,0,0,0,usable
A024,13248,0,0.0,0,0.0,723,287.1952747584541,300.0,175.45624160216872,2.0,17.0,31.0,531.0,642.0,1076.0,0,0,0,0,0,0,0,usable
A034,13248,0,0.0,0,0.0,653,271.64522946859904,282.0,164.13551280692462,4.0,17.0,31.0,496.0,562.0,1079.0,0,0,0,0,0,0,0,usable
A035,13248,0,0.0,0,0.0,451,193.61254528985506,206.0,120.4045739679259,1.0,10.0,18.0,361.0,401.0,671.0,0,0,0,0,0,0,0,usable
A069,13248,0,0.0,0,0.0,776,363.1460597826087,389.0,215.7649619081405,3.0,19.0,36.0,652.0,712.0,999.0,0,0,0,0,0,0,0,usable
A080,13248,0,0.0,0,0.0,282,110.55751811594203,124.0,59.03605162525382,1.0,8.0,15.0,205.0,244.53000000000065,1052.0,0,0,0,0,0,0,0,usable
A088,13248,0,0.0,0,0.0,1307,515.3126509661836,510.0,365.94105408043595,8.0,23.0,35.0,1086.0,1226.5300000000007,1678.0,0,0,0,0,0,0,0,usable
A095,13248,0,0.0,0,0.0,679,294.3076690821256,271.0,201.9419415133773,1.0,14.0,25.0,590.0,634.0,752.0,0,0,0,0,0,0,0,usable
A097,13248,0,0.0,0,0.0,773,328.7062198067633,308.0,217.9699988649474,5.0,20.0,34.0,646.0,706.0,933.0,0,0,0,0,0,0,0,usable
A137,13248,0,0.0,0,0.0,2063,978.2179196859903,933.5,632.0882749807568,27.0,72.47,106.0,1881.0,2046.0,2354.0,0,0,0,0,0,0,0,usable
A141,13248,0,0.0,0,0.0,417,215.0455917874396,251.0,111.7350169279673,4.0,17.0,29.0,357.0,383.0,454.0,0,0,0,0,0,0,0,usable
A147,13248,0,0.0,0,0.0,778,338.1483997584541,294.0,238.7627826067632,4.0,21.47,33.0,685.0,731.0,832.0,0,0,0,0,0,0,0,usable
A170,13248,0,0.0,0,0.0,729,313.89228562801935,288.0,221.6766046400341,2.0,15.0,25.0,644.0,689.5300000000007,758.0,0,0,0,0,0,0,0,usable
